2025-05-07 15:15:10,283 [Worker-5: Loading available Gradle versions] INFO  o.e.b.c.i.u.g.PublishedGradleVersions - Gradle version information cache is not available. Remote download required.
2025-05-07 15:17:21,222 [Worker-0: Enabling Maven Dependency Management] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: JavaBasiv:JavaBasiv:0.0.1-SNAPSHOT @ C:\Users\Admin\eclipse-launch\JavaBasiv\pom.xml.
2025-05-07 15:17:22,137 [Worker-0: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /JavaBasiv/src
2025-05-07 15:17:22,139 [Worker-0: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /JavaBasiv/src/main/resources overlaps with sources folder /JavaBasiv/src
2025-05-07 15:17:22,141 [Worker-0: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /JavaBasiv/src/test/java because it overlaps with /JavaBasiv/src
2025-05-07 15:17:22,142 [Worker-0: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /JavaBasiv/src/test/resources overlaps with sources folder /JavaBasiv/src
2025-05-07 15:17:22,296 [Worker-0: Enabling Maven Dependency Management] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2025-05-07 15:17:22,560 [Worker-0: Enabling Maven Dependency Management] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: JavaBasiv:JavaBasiv:0.0.1-SNAPSHOT @ C:\Users\Admin\eclipse-launch\JavaBasiv\pom.xml.
2025-05-07 15:17:22,760 [Worker-0: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /JavaBasiv/src
2025-05-07 15:17:22,761 [Worker-0: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /JavaBasiv/src/main/resources overlaps with sources folder /JavaBasiv/src
2025-05-07 15:17:22,762 [Worker-0: Enabling Maven Dependency Management] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /JavaBasiv/src/test/java because it overlaps with /JavaBasiv/src
